iter	Passed	Remaining
234	3243	10559
235	3252	10529
236	3262	10504
237	3270	10472
238	3281	10448
239	3289	10417
240	3299	10390
241	3310	10369
242	3319	10340
243	3328	10313
244	3337	10286
245	3346	10258
246	3355	10228
247	3362	10197
248	3372	10172
249	3380	10140
250	3389	10115
251	3397	10083
252	3408	10064
253	3420	10046
254	3432	10028
255	3446	10016
256	3457	9995
257	3465	9967
258	3474	9940
259	3489	9932
260	3505	9925
261	3516	9904
262	3530	9894
263	3547	9890
264	3562	9881
265	3573	9861
266	3587	9850
267	3605	9848
268	3626	9853
269	3672	9928
270	3682	9905
271	3691	9879
272	3699	9851
273	3710	9831
274	3718	9802
275	3729	9784
276	3738	9757
277	3749	9738
278	3759	9715
279	3767	9686
280	3776	9661
281	3783	9632
282	3792	9607
283	3799	9578
284	3809	9558
285	3818	9531
286	3828	9511
287	3839	9491
288	3854	9481
289	3863	9459
290	3873	9438
291	3882	9414
292	3891	9389
293	3902	9370
294	3910	9345
295	3921	9325
296	3930	9302
297	3940	9283
298	3949	9260
299	3957	9233
300	3968	9215
301	3977	9193
302	3987	9171
303	3998	9155
304	4015	9149
305	4025	9129
306	4039	9119
307	4057	9115
308	4077	9117
309	4094	9112
310	4112	9111
311	4129	9107
312	4140	9089
313	4152	9072
314	4162	9051
315	4171	9028
316	4178	9003
317	4188	8982
318	4195	8956
319	4206	8939
320	4215	8917
321	4226	8898
322	4236	8879
323	4246	8859
324	4258	8844
325	4270	8829
326	4280	8809
327	4291	8791
328	4301	8772
329	4309	8748
330	4320	8732
331	4329	8710
332	4340	8694
333	4350	8674
334	4358	8651
335	4367	8631
336	4375	8608
337	4385	8588
338	4392	8565
339	4401	8544
340	4409	8521
341	4417	8499
342	4425	8476
343	4437	8463
344	4449	8446
345	4457	8425
346	4469	8411
347	4481	8396
348	4495	8385
349	4504	8365
350	4520	8358
351	4536	8350
352	4551	8342
353	4565	8332
354	4584	8329
355	4600	8322
356	4617	8317
357	4638	8317
358	4657	8315
359	4669	8300
360	4710	8338
361	4728	8332
362	4738	8315
363	4746	8293
364	4757	8276
365	4766	8256
366	4773	8234
367	4782	8213
368	4790	8191
369	4800	8173
370	4807	8151
371	4817	8132
372	4825	8110
373	4836	8095
374	4845	8076
375	4856	8059
376	4866	8042
377	4874	8020
378	4888	8009
379	4899	7994
380	4907	7973
381	4920	7960
382	4931	7945
383	4940	7925
384	4954	7914
385	4965	7898
386	4975	7881
387	4983	7860
388	4993	7842
389	5001	7822
390	5010	7804
391	5018	7784
392	5028	7766
393	5036	7746
394	5059	7749
395	5070	7733
396	5080	7716
397	5099	7713
398	5122	7715
399	5139	7709
400	5153	7697
401	5177	7701
402	5191	7690
403	5201	7674
404	5210	7654
405	5220	7638
406	5228	7617
407	5237	7600
408	5245	7579
409	5257	7565
410	5268	7549
411	5276	7530
412	5285	7512
413	5299	7501
414	5313	7489
415	5324	7475
416	5335	7460
417	5346	7443
418	5355	7425
419	5365	7409
420	5374	7391
421	5383	7374
422	5394	7358
423	5402	7339
424	5414	7326
425	5424	7308
426	5432	7289
427	5441	7272
428	5449	7252
429	5460	7237
430	5469	7221
431	5482	7208
432	5493	7193
433	5501	7174
434	5515	7163
435	5530	7153
436	5542	7140
437	5552	7124
438	5561	7106
439	5585	7109
440	5595	7092
441	5610	7082
442	5623	7071
443	5639	7062
444	5655	7053
445	5675	7049
446	5694	7044
447	5708	7034
448	5723	7023
449	5759	7039
450	5773	7027
451	5787	7016
452	5797	7000
453	5805	6982
454	5816	6966
455	5826	6951
456	5836	6935
457	5850	6922
458	5860	6907
459	5868	6888
460	5877	6871
461	5889	6858
462	5897	6840
463	5908	6825
464	5916	6807
465	5929	6794
466	5941	6780
467	5950	6764
468	6012	6807
469	6060	6833
470	6091	6841
471	6113	6838
472	6124	6823
473	6137	6810
474	6155	6803
475	6173	6795
476	6200	6798
477	6215	6787
478	6227	6773
479	6243	6764
480	6253	6747
481	6264	6731
482	6271	6713
483	6283	6698
484	6295	6684
485	6303	6666
486	6313	6650
487	6321	6632
488	6330	6615
489	6341	6600
490	6351	6584
491	6363	6570
492	6374	6556
493	6383	6538
494	6398	6527
495	6408	6511
496	6416	6493
497	6426	6477
498	6436	6462
499	6446	6446
500	6457	6431
501	6468	6417
502	6478	6400
503	6490	6387
504	6504	6375
505	6514	6359
506	6524	6344
507	6535	6330
508	6545	6314
509	6598	6340
510	6620	6335
511	6632	6321
512	6644	6308
513	6657	6294
514	6673	6284
515	6686	6271
516	6703	6263
517	6722	6254
518	6732	6239
519	6743	6224
520	6754	6210
521	6767	6196
522	6777	6181
523	6785	6163
524	6795	6148
525	6805	6132
526	6821	6122
527	6832	6107
528	6842	6092
529	6850	6075
530	6860	6059
531	6867	6041
532	6876	6025
533	6884	6007
534	6894	5992
535	6903	5976
536	6911	5959
537	6922	5944
538	6933	5929
539	6946	5917
540	6959	5904
541	6973	5892
542	6982	5876
543	6992	5861
544	7001	5845
545	7010	5829
546	7022	5815
547	7031	5799
548	7039	5783
549	7048	5766
550	7055	5749
551	7065	5734
552	7073	5717
553	7082	5701
554	7090	5685
555	7100	5669
556	7108	5653
557	7134	5651
558	7151	5641
559	7169	5633
560	7198	5632
561	7219	5626
562	7238	5618
563	7248	5603
564	7262	5591
565	7271	5576
566	7281	5560
567	7290	5545
568	7298	5528
569	7308	5513
570	7316	5497
571	7338	5491
572	7348	5476
573	7363	5465
574	7377	5453
575	7387	5437
576	7396	5422
577	7406	5407
578	7421	5396
579	7431	5381
580	7440	5365
581	7448	5349
582	7457	5333
583	7465	5317
584	7473	5301
585	7481	5285
586	7489	5269
587	7498	5254
588	7507	5238
589	7517	5224
590	7535	5214
591	7546	5200
592	7558	5187
593	7569	5173
594	7583	5162
595	7624	5168
596	7635	5154
597	7650	5143
598	7666	5132
599	7676	5117
600	7688	5104
601	7702	5092
602	7720	5082
603	7738	5073
604	7759	5066
605	7773	5053
606	7793	5045
607	7812	5036
608	7823	5023
609	7831	5007
610	7842	4993
611	7853	4979
612	7861	4963
613	7872	4948
614	7881	4934
615	7894	4920
616	7908	4909
617	7919	4895
618	7929	4880
619	7940	4866
620	7954	4854
621	7963	4839
622	7972	4824
623	7982	4809
624	8035	4821
625	8061	4816
626	8079	4806
627	8093	4794
628	8113	4785
629	8127	4773
630	8181	4784
631	8202	4775
632	8243	4779
633	8262	4769
634	8279	4758
635	8301	4750
636	8319	4740
637	8336	4729
638	8358	4721
639	8371	4709
640	8385	4696
641	8396	4682
642	8412	4670
643	8458	4676
644	8470	4662
645	8480	4646
646	8490	4632
647	8502	4618
648	8509	4602
649	8521	4588
650	8529	4572
651	8540	4558
652	8548	4542
653	8556	4526
654	8566	4512
655	8574	4496
656	8584	4481
657	8595	4467
658	8603	4452
659	8617	4439
660	8633	4428
661	8646	4414
662	8656	4400
663	8668	4386
664	8680	4372
665	8689	4357
666	8698	4342
667	8708	4328
668	8715	4312
669	8724	4297
670	8731	4281
671	8741	4266
672	8749	4251
673	8760	4237
674	8768	4222
675	8777	4206
676	8794	4195
677	8808	4183
678	8826	4172
679	8846	4162
680	8871	4155
681	8886	4143
682	8898	4130
683	8911	4116
684	8925	4104
685	8941	4092
686	8956	4080
687	8974	4069
688	8993	4059
689	9011	4048
690	9041	4043
691	9064	4034
692	9085	4024
693	9095	4010
694	9104	3995
695	9116	3981
696	9127	3967
697	9136	3953
698	9147	3939
699	9156	3924
700	9167	3910
701	9179	3896
702	9187	3881
703	9197	3867
704	9207	3852
705	9215	3837
706	9226	3823
707	9233	3808
708	9246	3794
709	9256	3780
710	9265	3766
711	9278	3752
712	9288	3738
713	9298	3724
714	9309	3710
715	9318	3696
716	9326	3681
717	9336	3666
718	9345	3652
719	9355	3638
720	9364	3623
721	9377	3610
722	9388	3597
723	9398	3582
724	9407	3568
725	9415	3553
726	9424	3539
727	9433	3524
728	9442	3510
729	9511	3517
730	9530	3507
731	9544	3494
732	9555	3480
733	9570	3468
734	9584	3455
735	9596	3442
736	9608	3428
737	9620	3415
738	9634	3402
739	9652	3391
740	9670	3380
741	9701	3373
742	9718	3361
743	9734	3349
744	9751	3337
745	9763	3324
746	9776	3311
747	9786	3297
748	9794	3282
749	9803	3267
750	9812	3253
751	9822	3239
752	9831	3224
753	9842	3211
754	9851	3196
755	9862	3183
756	9876	3170
757	9890	3157
758	9906	3145
759	9914	3131
760	9922	3116
761	9933	3102
762	9941	3088
763	9950	3073
764	9958	3059
765	9968	3045
766	9976	3030
767	9985	3016
768	9993	3001
769	10001	2987
770	10011	2973
771	10020	2959
772	10030	2945
773	10038	2931
774	10047	2917
775	10055	2902
776	10064	2888
777	10077	2875
778	10091	2862
779	10101	2849
780	10114	2836
781	10124	2822
782	10132	2808
783	10143	2794
784	10150	2780
785	10166	2767
786	10186	2756
787	10196	2743
788	10211	2730
789	10235	2720
790	10246	2707
791	10262	2695
792	10279	2683
793	10337	2681
794	10355	2670
795	10373	2658
796	10392	2647
797	10410	2635
798	10435	2625
799	10450	2612
800	10465	2600
801	10479	2587
802	10488	2573
803	10498	2559
804	10511	2546
805	10523	2533
806	10534	2519
807	10548	2506
808	10559	2493
809	10567	2478
810	10577	2465
811	10588	2451
812	10597	2437
813	10607	2423
814	10615	2409
815	10624	2395
816	10634	2381
817	10642	2367
818	10651	2353
819	10658	2339
820	10669	2326
821	10677	2312
822	10688	2298
823	10699	2285
824	10709	2271
825	10720	2258
826	10730	2244
827	10739	2230
828	10750	2217
829	10760	2204
830	10771	2190
831	10781	2176
832	10788	2162
833	10801	2149
834	10810	2136
835	10817	2122
836	10831	2109
837	10849	2097
838	10865	2084
839	10878	2072
840	10892	2059
841	10914	2048
842	10933	2036
843	10952	2024
844	10973	2012
845	10990	2000
846	11005	1988
847	11016	1974
848	11028	1961
849	11042	1948
850	11060	1936
851	11072	1923
852	11084	1910
853	11099	1897
854	11112	1884
855	11132	1872
856	11178	1865
857	11194	1852
858	11206	1839
859	11215	1825
860	11223	1811
861	11233	1798
862	11241	1784
863	11250	1770
864	11259	1757
865	11274	1744
866	11284	1730
867	11296	1717
868	11314	1705
869	11329	1692
870	11345	1680
871	11361	1667
872	11370	1654
873	11379	1640
874	11387	1626
875	11399	1613
876	11409	1600
877	11417	1586
878	11427	1573
879	11435	1559
880	11443	1545
881	11451	1532
882	11463	1518
883	11474	1505
884	11484	1492
885	11494	1478
886	11504	1465
887	11515	1452
888	11539	1440
889	11559	1428
890	11572	1415
891	11585	1402
892	11597	1389
893	11613	1377
894	11625	1363
895	11639	1351
896	11654	1338
897	11672	1325
898	11685	1312
899	11697	1299
900	11715	1287
901	11729	1274
902	11746	1261
903	11759	1248
904	11780	1236
905	11799	1224
906	11812	1211
907	11823	1197
908	11833	1184
909	11841	1171
910	11849	1157
911	11858	1144
912	11866	1130
913	11877	1117
914	11886	1104
915	11895	1090
916	11902	1077
917	11915	1064
918	11925	1051
919	11933	1037
920	11951	1025
921	11965	1012
922	11980	999
923	11991	986
924	12000	973
925	12011	959
926	12021	946
927	12029	933
928	12039	920
929	12046	906
930	12055	893
931	12063	880
932	12072	866
933	12080	853
934	12089	840
935	12097	827
936	12107	814
937	12117	800
938	12130	788
939	12175	777
940	12188	764
941	12206	751
942	12226	739
943	12243	726
944	12256	713
945	12272	700
946	12289	687
947	12303	674
948	12321	662
949	12337	649
950	12356	636
951	12379	624
952	12393	611
953	12408	598
954	12421	585
955	12437	572
956	12448	559
957	12460	546
958	12469	533
959	12479	519
960	12490	506
961	12498	493
962	12521	481
963	12530	467
964	12540	454
965	12550	441
966	12558	428
967	12572	415
968	12583	402
969	12597	389
970	12605	376
971	12615	363
972	12627	350
973	12638	337
974	12648	324
975	12656	311
976	12666	298
977	12675	285
978	12684	272
979	12692	259
980	12700	245
981	12707	232
982	12716	219
983	12723	206
984	12735	193
985	12743	180
986	12751	167
987	12763	155
988	12771	142
989	12784	129
990	12798	116
991	12808	103
992	12819	90
993	12836	77
994	12851	64
995	12865	51
996	12881	38
997	12894	25
998	12906	12
999	12919	0
